t,outcome,"Static(0.5)_belief","Static(0.5)_brier","Static(0.5)_log","Bayes(1,1)_belief","Bayes(1,1)_brier","Bayes(1,1)_log","MLE_belief","MLE_brier","MLE_log"
144,0,0.5,0.75,-0.693147,0.534247,0.714581,-0.764099,0.534722,0.714072,-0.765121
145,1,0.5,0.75,-0.693147,0.530612,0.779675,-0.633724,0.531034,0.780071,-0.632928
146,0,0.5,0.75,-0.693147,0.533784,0.715075,-0.763106,0.534247,0.714581,-0.764099
147,1,0.5,0.75,-0.693147,0.530201,0.779289,-0.634498,0.530612,0.779675,-0.633724
148,1,0.5,0.75,-0.693147,0.533333,0.782222,-0.628609,0.533784,0.782642,-0.627764
149,1,0.5,0.75,-0.693147,0.536424,0.785097,-0.622831,0.536913,0.78555,-0.62192
150,0,0.5,0.75,-0.693147,0.539474,0.708968,-0.775385,0.54,0.7084,-0.776529
151,0,0.5,0.75,-0.693147,0.535948,0.71276,-0.767758,0.536424,0.712249,-0.768785
152,0,0.5,0.75,-0.693147,0.532468,0.716478,-0.760286,0.532895,0.716023,-0.761201
153,1,0.5,0.75,-0.693147,0.529032,0.778189,-0.636706,0.529412,0.778547,-0.635989
154,0,0.5,0.75,-0.693147,0.532051,0.716921,-0.759397,0.532468,0.716478,-0.760286
155,0,0.5,0.75,-0.693147,0.528662,0.720516,-0.752181,0.529032,0.720125,-0.752966
156,1,0.5,0.75,-0.693147,0.525316,0.774676,-0.643754,0.525641,0.774984,-0.643137
157,1,0.5,0.75,-0.693147,0.528302,0.777501,-0.638087,0.528662,0.777841,-0.637405
158,1,0.5,0.75,-0.693147,0.53125,0.780273,-0.632523,0.531646,0.780644,-0.631778
159,0,0.5,0.75,-0.693147,0.534161,0.714672,-0.763916,0.534591,0.714212,-0.764839
160,1,0.5,0.75,-0.693147,0.530864,0.779912,-0.633249,0.53125,0.780273,-0.632523
161,0,0.5,0.75,-0.693147,0.533742,0.715119,-0.763017,0.534161,0.714672,-0.763916
162,1,0.5,0.75,-0.693147,0.530488,0.779558,-0.633958,0.530864,0.779912,-0.633249
163,0,0.5,0.75,-0.693147,0.533333,0.715556,-0.76214,0.533742,0.715119,-0.763017
164,0,0.5,0.75,-0.693147,0.53012,0.718972,-0.755279,0.530488,0.718583,-0.756061
165,1,0.5,0.75,-0.693147,0.526946,0.77622,-0.640657,0.527273,0.776529,-0.640037
166,0,0.5,0.75,-0.693147,0.529762,0.719352,-0.754516,0.53012,0.718972,-0.755279
167,0,0.5,0.75,-0.693147,0.526627,0.722664,-0.747872,0.526946,0.722328,-0.748546
168,0,0.5,0.75,-0.693147,0.523529,0.725917,-0.741349,0.52381,0.725624,-0.741937
169,1,0.5,0.75,-0.693147,0.520468,0.770049,-0.653027,0.52071,0.770281,-0.652562
170,1,0.5,0.75,-0.693147,0.523256,0.772715,-0.647685,0.523529,0.772976,-0.647162
171,0,0.5,0.75,-0.693147,0.526012,0.723312,-0.746572,0.526316,0.722992,-0.747214
172,0,0.5,0.75,-0.693147,0.522989,0.726483,-0.740215,0.523256,0.726203,-0.740775
